Day1-Day10文本原声completed已完成
Day 1| Find Your Greatness （发现你的伟大）completed已完成
Day 2| Ideas Are Scary（想法是可怕的）completed已完成
Day 3| Airplane Announcement（民航播音稿）上篇completed已完成
Day 4| Airplane Announcement（民航播音稿）下篇completed已完成
Day 5| The Astronomer （天文学家）completed已完成
Day 6| The Donkey in the Lion’s Skin （披着狮子皮的驴）completed已完成
Day 7| How to Be Proactive （做事如何积极主动）completed已完成
Day 8| Eat That Frog （吃掉那只青蛙）completed已完成
Day 9| Resident Evil - Opening scene （生化危机—开场白）completed已完成
Day 10| Shrek 1 - Opening Scene （怪物史莱克1—开场白）ing已学习50%
Day11-Day20文本原声completed已完成
Day 11| ILM-Creating the Impossible （工业光魔-创造不可能）（1）ing已学习50%
Day 12| ILM-Creating the Impossible （工业光魔-创造不可能）（2）ing已学习50%
Day 13| Start With Why （《从为什么开始》）（1）ing已学习50%
Day 14| Start With Why （《从为什么开始》）（2）ing已学习25%
Day 15| Barack Obama Presidential Victory Speech, 2008（2008年奥巴马当选演讲）（节选）ing已学习50%
Day 16| NAACP Image Awards Acceptance Speech 美国有色人种奖获奖感言（节选）completed已完成
Day 17| Cross-cultural Communication（跨文化交流）（1）completed已完成
Day 18| Cross-cultural Communication（跨文化交流）（2）completed已完成
Day 19| Audrey Hepburn（奥黛丽•赫本）ing已学习50%
Day 20| Heinz - The Ketchup Kings（亨氏—番茄酱之王）ing已学习50%
Day21-Day30 文本原声completed已完成
Day 21| Waken（醒来）ing已学习50%
Day 22| Share the Spirit of Olympic Games（共享奥运精神）ing已学习25%
Day 23| Stephen Fry - On Depression（斯蒂芬·弗雷—论抑郁）ing已学习50%
Day 24| Alexandre Dumas - Wait and Hope（亚历山大·仲马—等待和希望）ing已学习50%
Day 25| HBO - The Complete OSCARS Experience（HBO电视网 — 奥斯卡全方位体验）ing已学习50%
Day 26| Reality TV - Big Brother（真人秀—《老大哥》）ing已学习50%
Day 27| Police Arrest a Parrot（警方逮捕了一只鹦鹉）ing已学习50%
Day 28| Labrador Guns Down Its Owner（拉布拉多枪击主人）ing已学习50%
Day 29| The Picture of Dorian Gray（《道林格雷的画像》）ing已学习50%
Day 30| Animal Farm（《动物农场》）ing已学习50%
Day31-Day40 文本原声completed已完成
Day 31| Think Different （非同凡想）ing已学习50%
Day 32| Mercedes-Benz - The best or nothing（梅赛德斯-奔驰：唯有最好）ing已学习75%
Day 33| IHG（洲际酒店集团）ing已学习50%
Day 34| Nick's Manhattan Beach （尼克的曼哈顿海滩餐厅）ing已学习50%
Day 35| The Ass and His Purchaser （驴和买主）ing已学习50%
Day 36| Mercury and The Sculptor （墨丘利和雕刻师）ing已学习50%
Day 37| Clash of the Titans Opening Scene （《诸神之战》开场）ing已学习50%
Day 38| Transformers Opening Scene （《变形金刚》开场）ing已学习50%
Day 39| The Lord of the Rings - The Prologue （《魔戒》序言）ing已学习25%
Day 40|Zootopia-Judy Hopps’ Speech 疯狂动物城—兔子警官的演讲
Day41-Day50 文本原声
Day 41|Face Change Bravely 勇敢面对改变
Day 42|Persist, and Anything is Within Your Reach 坚持，你就能成功
Day 43|David and Goliath: Underdogs, Misfits, and the Art of Battling Giants (1) 《逆转：弱者如何找到优势，反败为胜》（1）
Day 44| David and Goliath: Underdogs, Misfits, and the Art of Battling Giants （2）
Day 45| The Road to Character (1)
Day 46| The Road to Character《品格之路》（2）
Day 47| Martin Luther King Jr. - I Have A Dream (Excerpts)
Day 48| John F. Kennedy Presidential Inaugural Speech (Excerpts)
Day 49| Truman Announces Hiroshima Bombing (1)
Day 50| Truman Announces Hiroshima Bombing (2)
Day51-Day60 文本原声
Day 51| The unanimous Declaration of the thirteen united States of America (Excerpt)
Day 52| The History of Slavery In America
Day 53| Henry Ford
Day 54 | Liberace
Day 55 | Dale Carnegie - A Man of Influence
Day 56 | Arnold Schwarzenegger
Day 57 | Love’s Philosophy
Day 58 | How Do I Love Thee?
Day 59 | Ann Landers—On Class
Day 60 | Albert Einstein—Never Lose a Holy Curiosity
Day61-Day70 文本原声
Day 61 | East of Eden (Excerpt)
Day 62 | In Search of Lost Time (Excerpt)
Day 63 | Bottlenose Dolphins
Day 64 | Jesus Christ Lizard
Day 65 | Chameleon
Day 66 | The Venus Flytrap
Day 67 | Welcome to IMAX
Day 68 | VR Motion Chairs
Day 69| Christianity1
Day 70| Christianity2
Day71-Day80 文本原声
Day 71|Shrek 2—Opening Scene
Day 72| X-men Prologues Compilation
Day 73|Hercules
Day 74|Earthlings
Day 75|Michelangelo - artist and man (1)
Day76|Michelangelo - artist and man (2)
Day77|Michelangelo - artist and man (3)
Day78|Mark Twain & His Amazing Adventures
Day79|The Summing Up (Excerpts)
Day80| Three Days to See (Excerpts)
Day81-Day90 讲义+文本原声
Day 81|More Was Never Enough (Excerpts)
Day 82|Youth
Day 83|Gettysburg Address
Day 84|Order of the Day
Day 85| Fight For Liberty
Day 86| Fight For Liberty
Day 87| Titanic
Day 88| Titanic（2）
Day 89|Cancer
Day91-Day100 文本原声
Day 90|AIDS
Day 91|Solitude
Day 92|If—
Day 93|Outliers - The Story of Success (1)
Day 94|Outliers - The Story of Success (2)
Day 95 |The Attention Merchants —The Epic Scramble to Get Inside Our Heads (1)
Day 96 |The Attention Merchants —The Epic Scramble to Get Inside Our Heads (2)
Day 97 |DJI - Introducing the Phantom 4
Day 98| DJI - Introducing the Mavic Air
Day 99| The Moon and Sixpence - The Story Of Paul Gauguin
Day 100|Vincent van Gogh - Lust for Life 文森特·梵高：渴望生活completed已完成
